,title,subtitles,links
0,'ARE YOU MAD?',KSI incredibly reveals Haaland nearly stopped blockbuster Tommy Fury fight,https://www.thesun.co.uk/sport/24358957/ksi-tommy-fury-fight-erling-haaland/
1,RON MORE TIME,Cristiano Ronaldo ‘reveals retirement plans to Al-Nassr and Portugal’,https://www.thesun.co.uk/sport/24356175/cristiano-ronaldo-retirement-al-nassr-world-cup/
2,CHARLIE WYETT,Mega-money stars in Saudi Arabia hating it & want to go home just months in,https://www.thesun.co.uk/sport/24357986/saudi-arabia-hating-transfers-home/
3,DE HEY YA,De Gea returns to Manchester as Man Utd fans say 'Onana should be worried',https://www.thesun.co.uk/sport/24354757/david-de-gea-return-manchester-united-andre-onana/
4,GOOD CALL,All the best Pay by Mobile casinos revealed - and how to make the most of them,https://www.thesun.co.uk/betting/21296516/pay-by-mobile-casino-uk-2023/
5,SUPERMARKET WEEP,Heartbroken Laura Woods fans 'break down in Tesco' as she gets boyfriend,https://www.thesun.co.uk/sport/24353057/laura-woods-adam-collard-relationship-fans-react/
6,MEUL OVER IT,Ex-Man Utd coach slams two flops & says Glazers NOT at fault for dire start,https://www.thesun.co.uk/sport/24358357/man-utd-meulensteen-casemiro-varane-glazers-ten-hag/
7,KAL IT QUITS,Kalvin Phillips set for Premier League transfer with two clubs circling,https://www.thesun.co.uk/sport/24358775/kalvin-phillips-transfer-man-city-newcastle-everton/
8,MAN DOWN,Chris Coleman leaves role just SEVEN games into new season after disastrous start,https://www.thesun.co.uk/sport/24355805/chris-coleman-wales-atromitos-greece/
9,ROL UP,Win an incredible Rolex or £14k in cash from just 89p with our discount code,https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
10,TOOK HIS SHOT,"A-lister offered £90k for night of passion, says ‘world’s sexiest footballer’",https://www.thesun.co.uk/sport/24355325/alisha-lehmann-a-list-celeb-90k-indecent-proposal/
11,EDEN SHOULDERS,Eden Hazard was dubbed 'lazy' but he didn't care... his skill was unmatched,https://www.thesun.co.uk/sport/24350848/eden-hazard-chelsea-retirement-premier-league-great-comment/
12,EUR ALLOWED,Uefa break their own protocol as Euro 2032 hosts are revealed as Italy & Turkey,https://www.thesun.co.uk/sport/24355788/uefa-protocol-euro-2032-hosts-italy-turkey/
13,BARN STORMER,Man Utd to face Barnsley in friendly but star 'misses out amid injury setback',https://www.thesun.co.uk/sport/24353973/man-utd-barnsley-friendly-kobbie-mainoo-injury/
14,DIER STRAITS,Fans baffled as Dier and Doherty have bizarre one-word argument on Twitter,https://www.thesun.co.uk/sport/24353490/eric-dier-matt-doherty-argument-twitter-tottenham-wolves/
15,WALKING KANE,Kane plans to continue playing until he's 40 - sparking hope of Prem return,https://www.thesun.co.uk/sport/24358328/harry-kane-vows-to-play-until-hes-40-as-105million-bayern-munich-star-issues-terrifying-warning-to-rival-defenders/
