,title,subtitles,links
58,HARRY UP,"Harry Maguire says 'my win percentage is ridiculously high', do stats back him up?",https://www.thesun.co.uk/sport/24375534/harry-maguire-win-percentage-man-utd/
59,,Man Utd fan says 'I don't really like him' before he's given star's shirt,https://www.thesun.co.uk/sport/24347505/awkward-man-utd-fan-mutv-shirt/
60,LOOKED KEANE,Keane explains how Arsenal can win title but won't repeat prediction mistake,https://www.thesun.co.uk/sport/24364390/roy-keane-premier-league-title-arsenal-manchester-city/
61,,Match of the Day fans could see Gary Lineker in his pants again after promise,https://www.thesun.co.uk/sport/24373734/match-of-the-day-gary-lineker-micah-richards-pants/
62,RASH TO THE TOP,I made my Utd debut with Rashford - our careers turned out very differently,https://www.thesun.co.uk/sport/24375776/regan-poole-man-utd-debut-marcus-rashford-wales-portsmouth/
63,TOR BLIMEY,Torres looks bigger than ever as he shows off bulging muscles in car advert,https://www.thesun.co.uk/sport/24372983/fernando-torres-chelsea-liverpool-bodybuilder-muscles-car-advert/
64,PUFF LUCK,I played for Pirlo... my team-mates used to smoke before games and at HALF-TIME,https://www.thesun.co.uk/sport/24373238/andrea-pirlo-colin-kazim-richards-smoke-half-time/
65,FIFA FIGHT,Saudi's 2034 World Cup bid facing 11th-hour rival as FOUR nations join forces,https://www.thesun.co.uk/sport/24371362/world-cup-2034-saudi-arabia-bid/
66,WEMBLEY WAHEY,I was born in Scotland and play for Oz - I can't wait to try to beat England,https://www.thesun.co.uk/sport/24376234/leicester-harry-souttar-australia-england-messi/
67,'INCOMPETENCE',Todd Boehly brutally mocked by fans of Strasbourg just months after takeover,https://www.thesun.co.uk/sport/24361608/chelsea-owner-todd-boehly-strasbourg-takeover/
68,MARK IRWIN,Southgate won't care about England vs Australia score.. it’s just a warm-up game,https://www.thesun.co.uk/sport/24387558/gareth-southgate-england-australia-wayne-rooney-euro-2024/
69,CHARLIE WYETT,Mega-money stars in Saudi Arabia hating it & want to go home just months in,https://www.thesun.co.uk/sport/24357986/saudi-arabia-hating-transfers-home/
70,TROY DEENEY,"Man Utd's Onana will never be consistent, he's either brilliant or disastrous",https://www.thesun.co.uk/sport/24318948/andre-onana-david-raya-aaron-ramsdale/
71,TOOK HIS SHOT,"A-lister offered £90k for night of passion, says ‘world’s sexiest footballer’",https://www.thesun.co.uk/sport/24355325/alisha-lehmann-a-list-celeb-90k-indecent-proposal/
72,SING WHEN YOU'RE WINNING,Mauro Icardi's wife Wanda Nara set for shock new career move,https://www.thesun.co.uk/sport/24368365/mauro-icardi-wanda-nara-career-move/
73,REDS WEDDING,Ex-Man Utd ace marries Wag in Maldives ceremony during international break,https://www.thesun.co.uk/sport/24360080/man-utd-alex-telles-marries-wag-maldives/
